Year,EEC,GDP,IMP,EXP,POP
1357,14345,1039932,10372,542.8,36393
1358,15917,941703,9695,811.78,37814
1359,16381,722813,10844,645.16,39291
1360,18234,686902,13515,339.53,40826
1361,21753,843208,11845,283.74,42420
1362,25153,925031,18103,356.63,44077
1363,28177,855036,14494,361.13,45798
1364,30812,870351,11408,464.95,47587
1365,32619,785295,9355,915.5,49445
1366,34740,786922,9369,1160.79,50662
1367,36147,745357,8177,1035.8,51909
1368,39956,789133,12807,1043.89,53187
1369,45107,899965,18722,1312.17,54496
1370,49175,1010601,29677,2624.93,55837
1371,52306,1041570,29870,2987.68,56656
1372,58114.8,1055690,20037,3746.8,57488
1373,63626,1045963,11795,4824.55,58331
1374,65854.2,1074044,12313,3250.67,59187
1375,69670.6,1131946,15117,3105.71,60055
1376,73358,1141305,14196,2875.59,61070
1377,77646,1166376,14323,3013.31,62103
1378,84656,1186177,12683,3362,63152
1379,90365.8,1253472,14347,3762.7,64219
1380,97171.2,1279193,17626,4224.05,65301
1381,105075.4,1383116,22275,4608,66300
1382,114909.5,1499528,26597.8,5972.2,67315
1383,124461.8,1569066,35388.55,6847.3,68345
1384,132897.8,1668186.1,39247,10474.4,69390
1385,144581.7,1769426,41722.6,12996.91,70496
1386,152329,1906446.7,48438.82,15312.28,71366
1387,161445.1,1918681,56042.01,18333.58,72266
1388,168438.3,1942989.5,55286.9,21891.46,73196
1389,184181.8,2068911.9,64449.8,26550.83,74157
1390,183905.4,2157934.1,61808.19,33818.64,75150
1391,194148.5,2011554,53450.84,32567.24,76075
1392,203087.9,1972853,49709,31552,77016
1393,219814.4,2031596,53569.48,36555.2,77970
